orderId,orderNumber,orderDate,orderStatus,shipToCity,shipToState,itemIndex,itemName,itemSku,itemQty,itemUnitPrice,currentCustomsDesc,currentCustomsHS,currentCustomsQty,currentCustomsValue,suggestedDesc,suggestedHS,matchMethod,productTypeDetected
621325918,52150,2025-08-27,awaiting_shipment,CONCORD,NH,0,2025 Minimalist Weekly Planner (A5) - Elderberry,2025Q4-MIN-ELD,1,29.09,Planner agenda (bound diary),4820102010,1,29.09,Planner agenda (bound diary),4820102010,HS_planner,planner
623188318,52428,2025-08-31,awaiting_shipment,TWIN FALLS,ID,0,"Luminé - Graph Notebook - TN (4.3"" x 8.3"") / Juniper",NB-JUN-TNX-GPH,1,26.11,Notebook (bound journal),4820102060,1,26.11,Notebook (bound journal),4820102060,HS_notebook,notebook
623128956,52422,2025-08-31,awaiting_shipment,NASHVILLE,TN,0,2025 Minimalist Weekly Planner (A5) - Enchanted Forest,25-MIN-A5-ENF,1,28.85,Planner agenda (bound diary),4820102010,1,28.85,Planner agenda (bound diary),4820102010,HS_planner,planner
623098143,52412,2025-08-31,awaiting_shipment,MECHANICSVLLE,VA,0,"Undated Daily Planner (6-Month, Hardcover, 120gsm) - Rivière",DPL-RIV-UHC,1,101.06,Planner agenda (bound diary),4820102010,1,101.06,Planner agenda (bound diary),4820102010,HS_planner,planner
,,,,,,1,Monthly Tabs - Toile de Lin,AC-TB-TL-24,1,8.24,Paper sticker,4911998000,1,8.24,Paper sticker,4911998000,HS_sticker,sticker
,,,,,,2,SAVE10,,1,-10.92,,,,,,,NONE,
623070968,52402,2025-08-31,awaiting_shipment,SATELLITE BCH,FL,0,"Undated Daily Planner (6-Month, Hardcover, 120gsm) - Enchanted Forest",DPL-ENF-UHC,1,75.56,Planner agenda (bound diary),4820102010,1,75.56,Planner agenda (bound diary),4820102010,HS_planner,planner
,,,,,,1,"Undated Vertical Weekly Planner (12-Month, Hardcover, 120gsm) - Snapdragon",VPL-SNP-UHC,1,72.81,Planner agenda (bound diary),4820102010,1,72.81,Planner agenda (bound diary),4820102010,HS_planner,planner
623002943,52388,2025-08-31,awaiting_shipment,CHESHIRE,CT,0,"Lunar Dotted - Notebook - Deep Aster / TN (4.3"" x 8.3"")",NBD-SP-24-TN-LUN-DA,1,26.11,Notebook (bound journal),4820102060,1,26.11,Notebook (bound journal),4820102060,HS_notebook,notebook
,,,,,,1,Undated Weekly Planner - Aster,UW-SC-23-AR,1,42.6,Planner agenda (bound diary),4820102010,1,42.6,Planner agenda (bound diary),4820102010,HS_planner,planner
,,,,,,2,DEBBIE10,,1,-6.87,,,,,,,NONE,
622992084,52386,2025-08-31,awaiting_shipment,CINCINNATI,OH,0,Graph Notepad,NP-BN,1,15.11,Notepad,4820102020,1,15.11,Notepad,4820102020,HS_notepad,notepad
,,,,,,1,Weekly Habit Tracker Notepad,NP-WT,3,9.62,Sticky notepad,4820102020,1,9.62,Notepad,4820102020,HS_notepad,notepad
,,,,,,2,Floriculture - Graph Notebook (imperfect) - B5 - Pacific - Minor Cover Imperfections,NTB-GRD-B5-PAC-IM,1,45.33,"Notebook (sewn journal, B5 size)",4820102030,1,45.33,"Notebook (sewn journal, B5 size)",4820102030,HS_notebook-b5,notebook-b5
,,,,,,3,Monarque - Graph Notebook (imperfect) - B5 - Wild Orchid - Minor Cover Imperfections,NTB-GRD-WOR-IM-AA,1,45.33,"Notebook (sewn journal, B5 size)",4820102030,1,45.33,"Notebook (sewn journal, B5 size)",4820102030,HS_notebook-b5,notebook-b5
,,,,,,4,Luminé - Graph Notebook (imperfect) - B5 - Juniper  - Minor Cover Imperfections,NTB-GRD-JUN-IM-AB,1,45.33,"Notebook (sewn journal, B5 size)",4820102030,1,45.33,"Notebook (sewn journal, B5 size)",4820102030,HS_notebook-b5,notebook-b5
,,,,,,5,Habit Stickies,STCK-HABIT,1,9.62,Notepad,4820102020,3,9.62,Sticky notepad,4820102020,HS_sticky,sticky
622939497,52378,2025-08-30,awaiting_shipment,FRISCO,TX,0,Highlight Stickers - Woodlands,STK-HLT,1,6.87,Paper sticker,4911998000,1,6.87,Paper sticker,4911998000,HS_sticker,sticker
,,,,,,1,Highlight Stickers - Moonflower,AC-HI-MO,1,6.87,Paper sticker,4911998000,1,6.87,Paper sticker,4911998000,HS_sticker,sticker
,,,,,,2,Undated Weekly Planner - Aster,UW-SC-23-AR,1,42.59,Planner agenda (bound diary),4820102010,1,42.59,Planner agenda (bound diary),4820102010,HS_planner,planner
,,,,,,3,AMANDASFAVORITES,,1,-4.26,,,,,,,NONE,
622922138,52374,2025-08-30,awaiting_shipment,ARLINGTON HTS,IL,0,2025 Minimalist Weekly Planner (A5) - Elderberry,25-MIN-A5-ELD,1,28.86,Planner agenda (bound diary),4820102010,1,28.86,Planner agenda (bound diary),4820102010,HS_planner,planner
622804152,52353,2025-08-30,awaiting_shipment,NEW BOSTON,TX,0,Wellness Stickers - Summer Solstice,WNS-SMS-25,2,6.87,Paper sticker,4911998000,1,6.87,Paper sticker,4911998000,HS_sticker,sticker
,,,,,,1,Highlight Stickers - Autumnal,AC-HI-AUT,1,6.87,Paper sticker,4911998000,2,6.87,Paper sticker,4911998000,HS_sticker,sticker
,,,,,,2,Square Bullet Stickers - Scarlet Oak,,1,6.87,Paper sticker,4911998000,1,6.87,Paper sticker,4911998000,HS_sticker,sticker
